Twitter bans (then reinstates) writer who gets dragged by Naomi Osaka,3
Man named Saddam Hussein wins the election in Iraq,1
Director of France's library destroyed by fire says they made back-ups... on paper,2
Michigan Republican John James says he won't accept Pfizer's offer of free vaccine doses for his company because it will 'deprive other Americans',4
Illinois hiker said he fended off a coyote with a rock as his shoe temporarily froze to the ground – then it appeared to find a buddy,5
School surprises students at lunch by warning them they could be arrested for skipping class and playing video games,6
“Resist White Supremacy”: A sign. “Not even water?”: a cop.,7
"Family eats cereal that expired in 1997: ""We ate it like hundreds of times""",8
Lyft’s IPO filing reveals nearly $1 billion in book losses,9
"Prison inmate harvesting crops says bloody, underpaid work was ‘cathartic’",10
"Bishop: I paid for housekeeper's abortion, but it's not a resignation matter",11
Tom Brady says he knew Week 4 was his last game with Buccaneers at the time,12
"Man brings body of ibuprofen overdose victim to Kan. courthouse, titling paperwork: 'Don't do meth.'",13
"NFL accidentally recycled vaccination wristbands meant for team personnel, per report",14
Overweight soccer player in quarantine after catching coronavirus resigns because he can't socially distance at home,15
"Austin police ran over a man they fatally shot, then lied about the incident, documents show",16
Hong Kong protester shot in chest by live round as Xi insists on ‘end to chaos’,17
"Delta and Omicron were just the beginning, WHO says: More COVID variants on the horizon",18
Donald Trump says China is 'raping the United States',19
The US military spends more on Viagra than it does on transgender troops,20
"California teacher harassed by parent demanding in-person instruction received child porn, threats, police say",21
One in three in Japan feel high anxiety during Covid pandemic - survey',22
Report: Most Americans Know Nation Had Horseface When It Was Born,23
"PETA demands 'Halt', a game about being a photosystem administrator, be pulled off Steam jur // Turn On your Technician  » TechLightNews 6mins, 0116",24
Bigfoot erotica becomes an issue in Virginia congressional race,25
Man arrested for offering free Tesla in return for someone killing Mexican President Andrés Manuel López Obrador,26
U.S. moves to scrap dinosaur protections to ease environmental rules,27
Your name can keep vital COVID aid from reaching your bank account,28
Wisconsin man who broke in to hang his TV at woman's Lakeview apartment still at large,29
"Historic First': Los Angeles Residents Rescued 1,000 Cats From L.A. City Animal Shelters In A Single Month",30
Police chief ‘justified’ in killing prostitute resigned from another force after a fatal shooting,31
Hackers Were Inside Citrix for Five Months,32
Russian central bank official says cryptocurrencies could collapse 0% of the time: 'You are a fool to invest',33
A married woman who killed her rapist was sentenced to death by hanging in Iran,34
"The CDC says people should wear masks during sex, but not with most strangers",35
Joe Aribo is the best footballer to have ever played says Rangers team-mate Jermain Defoe,36
